"","sample_no","image_name","year","age","sex_histology","maturation_status_histology","maturity","anu_adj","radcap","length_mm","Increment1","Increment2","Increment3","Increment4","Increment5","Increment6","Increment7","anu1","anu2","anu3","anu4","anu5","anu6","anu7"
"106",384,"17NPRB038405S26S9",2017,5,"Female","3","mature",0.281,4.859,197,1.563,1.474,0.926,0.615,0.281,NA,NA,1.563,1.474,0.926,0.615,0.281,0,0
"107",388,"17NPRB038805S26S13",2017,5,"Female","4","mature",0.476,4.906,198,1.795,1.518,0.704,0.413,0.476,NA,NA,1.795,1.518,0.704,0.413,0.476,0,0
"108",400,"17NPRB040005S28S5",2017,5,"Female","3","mature",0.212,5.009,211,1.961,1.658,0.702,0.476,0.212,NA,NA,1.961,1.658,0.702,0.476,0.212,0,0
"109",401,"17NPRB040105S28S6",2017,5,"Female","4","mature",0.501,4.007,196,1.447,1.326,0.397,0.336,0.501,NA,NA,1.447,1.326,0.397,0.336,0.501,0,0
"110",409,"17NPRB040905S28S14",2017,5,"Female","5","mature",0.341,4.974,215,2.236,1.227,0.657,0.513,0.341,NA,NA,2.236,1.227,0.657,0.513,0.341,0,0
"111",419,"17NPRB041903S29S9",2017,3,"Female","1","immature",0.391,2.739,162,1.545,0.803,0.391,NA,NA,NA,NA,1.545,0.803,0.391,0,0,0,0
"112",427,"17NPRB042703S30S2",2017,3,"Female","1","immature",0.594,4.299,182,2.32,1.385,0.594,NA,NA,NA,NA,2.32,1.385,0.594,0,0,0,0
"113",433,"17NPRB043305S30S8",2017,5,"Female","4","mature",0.251,4.503,204,1.465,1.491,0.716,0.58,0.251,NA,NA,1.465,1.491,0.716,0.58,0.251,0,0
"114",435,"17NPRB043504S30S10",2017,4,"Female","1","immature",0.307,3.042,191,1.519,0.765,0.451,0.307,NA,NA,NA,1.519,0.765,0.451,0.307,0,0,0
"115",436,"17NPRB043606S30S11",2017,6,"Female","5","mature",0.104,3.808,196,1.411,1.217,0.512,0.303,0.261,0.104,NA,1.411,1.217,0.512,0.303,0.261,0.104,0
"116",438,"17NPRB043805S30S13",2017,5,"Female","4","mature",0.154,3.805,194,1.516,1.176,0.593,0.366,0.154,NA,NA,1.516,1.176,0.593,0.366,0.154,0,0
"117",447,"17NPRB044702S31S7",2017,2,"Female","1","immature",1.224,3.868,160,2.644,1.224,NA,NA,NA,NA,NA,2.644,1.224,0,0,0,0,0
"118",448,"17NPRB044802S31S8",2017,2,"Female","1","immature",1.295,3.613,152,2.318,1.295,NA,NA,NA,NA,NA,2.318,1.295,0,0,0,0,0
"119",452,"17NPRB045202S31S12",2017,2,"Female","1","immature",1.059,2.931,162,1.872,1.059,NA,NA,NA,NA,NA,1.872,1.059,0,0,0,0,0
"120",455,"17NPRB045505S31S15",2017,5,"Female","4","mature",0.428,4.709,198,1.685,1.25,1.013,0.333,0.428,NA,NA,1.685,1.25,1.013,0.333,0.428,0,0
"121",459,"17NPRB045902S32S4",2017,2,"Female","1","immature",0.836,2.243,133,1.407,0.836,NA,NA,NA,NA,NA,1.407,0.836,0,0,0,0,0
"122",460,"17NPRB046002S32S5",2017,2,"Female","2","mature",0.961,3.287,167,2.326,0.961,NA,NA,NA,NA,NA,2.326,0.961,0,0,0,0,0
"123",461,"17NPRB046103S32S6",2017,3,"Female","1","immature",0.408,3.37,193,1.859,1.103,0.408,NA,NA,NA,NA,1.859,1.103,0.408,0,0,0,0
"124",463,"17NPRB046302S32S8",2017,2,"Female","1","immature",0.634,1.816,151,1.182,0.634,NA,NA,NA,NA,NA,1.182,0.634,0,0,0,0,0
"125",468,"17NPRB046802S32S13",2017,2,"Female","1","immature",1.235,3.143,150,1.908,1.235,NA,NA,NA,NA,NA,1.908,1.235,0,0,0,0,0
"126",471,"17NPRB047102S33S1",2017,2,"Female","3","mature",1.085,2.37,166,1.285,1.085,NA,NA,NA,NA,NA,1.285,1.085,0,0,0,0,0
"127",474,"17NPRB047402S33S4",2017,2,"Female","2","mature",1.332,3.651,161,2.319,1.332,NA,NA,NA,NA,NA,2.319,1.332,0,0,0,0,0
"128",476,"17NPRB047602S33S6",2017,2,"Female","1","immature",1.052,3.583,166,2.531,1.052,NA,NA,NA,NA,NA,2.531,1.052,0,0,0,0,0
"129",483,"17NPRB048306S33S13",2017,6,"Female","4","mature",0.153,3.658,185,1.468,1.202,0.466,0.26,0.109,0.153,NA,1.468,1.202,0.466,0.26,0.109,0.153,0
"130",484,"17NPRB048402S33S14",2017,2,"Female","1","immature",1.398,3.853,157,2.455,1.398,NA,NA,NA,NA,NA,2.455,1.398,0,0,0,0,0
"131",489,"17NPRB048904S34S4",2017,4,"Female","5","mature",0.239,3.606,192,1.818,1.146,0.403,0.239,NA,NA,NA,1.818,1.146,0.403,0.239,0,0,0
"132",491,"17NPRB049102S34S6",2017,2,"Female","1","immature",0.743,2.602,148,1.859,0.743,NA,NA,NA,NA,NA,1.859,0.743,0,0,0,0,0
"133",492,"17NPRB049205S34S7",2017,5,"Female","4","mature",0.288,5.075,205,1.735,1.584,0.853,0.615,0.288,NA,NA,1.735,1.584,0.853,0.615,0.288,0,0
"134",493,"17NPRB049302S34S8",2017,2,"Female","1","immature",1.3,3.524,152,2.224,1.3,NA,NA,NA,NA,NA,2.224,1.3,0,0,0,0,0
"135",494,"17NPRB049405S34S9",2017,5,"Female","4","mature",0.111,3.145,193,0.988,1.3,0.534,0.212,0.111,NA,NA,0.988,1.3,0.534,0.212,0.111,0,0
"136",496,"17NPRB049602S34S11",2017,2,"Female","1","immature",1.501,3.409,161,1.908,1.501,NA,NA,NA,NA,NA,1.908,1.501,0,0,0,0,0
"137",501,"17NPRB050102S35S1",2017,2,"Female","1","immature",0.883,2.626,152,1.743,0.883,NA,NA,NA,NA,NA,1.743,0.883,0,0,0,0,0
"138",506,"17NPRB050603S35S6",2017,3,"Female","1","immature",0.576,3.812,172,1.786,1.45,0.576,NA,NA,NA,NA,1.786,1.45,0.576,0,0,0,0
"139",507,"17NPRB050702S35S7",2017,2,"Female","3","mature",1.045,3.321,166,2.276,1.045,NA,NA,NA,NA,NA,2.276,1.045,0,0,0,0,0
"140",509,"17NPRB050902S35S9",2017,2,"Female","2","mature",1.103,3.084,160,1.981,1.103,NA,NA,NA,NA,NA,1.981,1.103,0,0,0,0,0
"141",519,"17NPRB051902S36S4",2017,2,"Female","2","mature",1.587,4.13,168,2.543,1.587,NA,NA,NA,NA,NA,2.543,1.587,0,0,0,0,0
"142",521,"17NPRB052103S36S6",2017,3,"Female","1","immature",0.33,3.203,171,1.876,0.997,0.33,NA,NA,NA,NA,1.876,0.997,0.33,0,0,0,0
"143",530,"17NPRB053003S36S15",2017,3,"Female","2","mature",0.547,4.034,182,1.777,1.71,0.547,NA,NA,NA,NA,1.777,1.71,0.547,0,0,0,0
"144",545,"17NPRB054502S37S15",2017,2,"Female","1","immature",1.152,3.175,167,2.023,1.152,NA,NA,NA,NA,NA,2.023,1.152,0,0,0,0,0
"145",548,"17NPRB054802S39S1",2017,2,"Female","1","immature",1.398,3.683,158,2.285,1.398,NA,NA,NA,NA,NA,2.285,1.398,0,0,0,0,0
"146",549,"17NPRB054902S39S2",2017,2,"Female","1","immature",1.592,3.941,159,2.349,1.592,NA,NA,NA,NA,NA,2.349,1.592,0,0,0,0,0
"147",550,"17NPRB055003S39S3",2017,3,"Female","1","immature",0.435,3.504,165,1.902,1.167,0.435,NA,NA,NA,NA,1.902,1.167,0.435,0,0,0,0
"148",551,"17NPRB055102S39S4",2017,2,"Female","1","immature",0.87,2.646,136,1.776,0.87,NA,NA,NA,NA,NA,1.776,0.87,0,0,0,0,0
"149",552,"17NPRB055202S39S5",2017,2,"Female","1","immature",1.297,3.143,146,1.846,1.297,NA,NA,NA,NA,NA,1.846,1.297,0,0,0,0,0
"150",554,"17NPRB055403S39S7",2017,3,"Female","1","immature",0.663,3.737,173,1.804,1.27,0.663,NA,NA,NA,NA,1.804,1.27,0.663,0,0,0,0
"151",563,"17NPRB056302S40S1",2017,2,"Female","1","immature",1.05,3.267,159,2.217,1.05,NA,NA,NA,NA,NA,2.217,1.05,0,0,0,0,0
"152",564,"17NPRB056402S40S2",2017,2,"Female","1","immature",1.645,3.201,133,1.556,1.645,NA,NA,NA,NA,NA,1.556,1.645,0,0,0,0,0
"153",565,"17NPRB056502S40S3",2017,2,"Female","2","mature",1.006,2.43,133,1.424,1.006,NA,NA,NA,NA,NA,1.424,1.006,0,0,0,0,0
"154",566,"17NPRB056602S40S4",2017,2,"Female","1","immature",1.176,3.503,158,2.327,1.176,NA,NA,NA,NA,NA,2.327,1.176,0,0,0,0,0
"155",568,"17NPRB056802S40S6",2017,2,"Female","1","immature",1.599,3.187,152,1.588,1.599,NA,NA,NA,NA,NA,1.588,1.599,0,0,0,0,0
"156",569,"17NPRB056902S40S7",2017,2,"Female","1","immature",1.594,3.984,143,2.39,1.594,NA,NA,NA,NA,NA,2.39,1.594,0,0,0,0,0
"157",571,"17NPRB057102S40S9",2017,2,"Female","1","immature",1.159,3.133,149,1.974,1.159,NA,NA,NA,NA,NA,1.974,1.159,0,0,0,0,0
"158",572,"17NPRB057202S40S10",2017,2,"Female","1","immature",1.086,2.648,141,1.562,1.086,NA,NA,NA,NA,NA,1.562,1.086,0,0,0,0,0
"159",576,"17NPRB057602S40S14",2017,2,"Female","1","immature",0.97,2.663,133,1.693,0.97,NA,NA,NA,NA,NA,1.693,0.97,0,0,0,0,0
"160",583,"17NPRB058302S41S6",2017,2,"Female","1","immature",1.065,2.747,144,1.682,1.065,NA,NA,NA,NA,NA,1.682,1.065,0,0,0,0,0
"161",585,"17NPRB058502S41S8",2017,2,"Female","1","immature",1.287,2.715,124,1.428,1.287,NA,NA,NA,NA,NA,1.428,1.287,0,0,0,0,0
"162",587,"17NPRB058702S41S10",2017,2,"Female","1","immature",1.596,4.071,160,2.475,1.596,NA,NA,NA,NA,NA,2.475,1.596,0,0,0,0,0
"163",595,"17NPRB059502S42S3",2017,2,"Female","1","immature",1.238,3.616,150,2.378,1.238,NA,NA,NA,NA,NA,2.378,1.238,0,0,0,0,0
"164",600,"17NPRB060002S42S8",2017,2,"Female","1","immature",1.422,2.886,139,1.464,1.422,NA,NA,NA,NA,NA,1.464,1.422,0,0,0,0,0
"165",605,"17NPRB060502S42S13",2017,2,"Female","1","immature",1.525,3.034,136,1.509,1.525,NA,NA,NA,NA,NA,1.509,1.525,0,0,0,0,0
"166",610,"17NPRB061002S43S3",2017,2,"Female","1","immature",1.324,3.842,152,2.518,1.324,NA,NA,NA,NA,NA,2.518,1.324,0,0,0,0,0
"167",616,"17NPRB061602S43S9",2017,2,"Female","1","immature",1.176,2.845,141,1.669,1.176,NA,NA,NA,NA,NA,1.669,1.176,0,0,0,0,0
"168",617,"17NPRB061702S43S10",2017,2,"Female","1","immature",0.846,2.83,155,1.984,0.846,NA,NA,NA,NA,NA,1.984,0.846,0,0,0,0,0
"169",625,"17NPRB062502S44S3",2017,2,"Female","1","immature",1.121,2.61,134,1.489,1.121,NA,NA,NA,NA,NA,1.489,1.121,0,0,0,0,0
"170",626,"17NPRB062602S44S4",2017,2,"Female","1","immature",1.322,3.145,140,1.823,1.322,NA,NA,NA,NA,NA,1.823,1.322,0,0,0,0,0
"171",628,"17NPRB062802S44S6",2017,2,"Female","1","immature",1.688,3.408,137,1.72,1.688,NA,NA,NA,NA,NA,1.72,1.688,0,0,0,0,0
"172",632,"17NPRB063202S44S10",2017,2,"Female","1","immature",1.632,4.26,179,2.628,1.632,NA,NA,NA,NA,NA,2.628,1.632,0,0,0,0,0
"173",634,"17NPRB063402S44S12",2017,2,"Female","1","immature",1.245,3.257,141,2.012,1.245,NA,NA,NA,NA,NA,2.012,1.245,0,0,0,0,0
"174",636,"17NPRB063602S44S14",2017,2,"Female","1","immature",1.504,3.311,144,1.807,1.504,NA,NA,NA,NA,NA,1.807,1.504,0,0,0,0,0
"175",637,"17NPRB063702S44S15",2017,2,"Female","1","immature",1.265,3.31,147,2.045,1.265,NA,NA,NA,NA,NA,2.045,1.265,0,0,0,0,0
"176",638,"17NPRB063803S45S1",2017,3,"Female","1","immature",0.208,2.189,160,1.234,0.747,0.208,NA,NA,NA,NA,1.234,0.747,0.208,0,0,0,0
"177",639,"17NPRB063902S45S2",2017,2,"Female","1","immature",1.183,3.492,157,2.309,1.183,NA,NA,NA,NA,NA,2.309,1.183,0,0,0,0,0
"178",640,"17NPRB064002S45S3",2017,2,"Female","1","immature",0.998,2.869,145,1.871,0.998,NA,NA,NA,NA,NA,1.871,0.998,0,0,0,0,0
"179",642,"17NPRB064202S45S5",2017,2,"Female","1","immature",1.453,3.254,141,1.801,1.453,NA,NA,NA,NA,NA,1.801,1.453,0,0,0,0,0
"180",645,"17NPRB064502S45S8",2017,2,"Female","1","immature",1.452,3.092,140,1.64,1.452,NA,NA,NA,NA,NA,1.64,1.452,0,0,0,0,0
"181",647,"17NPRB064702S45S10",2017,2,"Female","1","immature",1.452,2.966,134,1.514,1.452,NA,NA,NA,NA,NA,1.514,1.452,0,0,0,0,0
"182",648,"17NPRB064802S45S11",2017,2,"Female","1","immature",1.317,4.009,152,2.692,1.317,NA,NA,NA,NA,NA,2.692,1.317,0,0,0,0,0
"183",650,"17NPRB065002S45S13",2017,2,"Female","1","immature",1.048,3.411,149,2.363,1.048,NA,NA,NA,NA,NA,2.363,1.048,0,0,0,0,0
"184",651,"17NPRB065102S45S14",2017,2,"Female","1","immature",1.511,3.551,149,2.04,1.511,NA,NA,NA,NA,NA,2.04,1.511,0,0,0,0,0
"185",654,"17NPRB065402S46S2",2017,2,"Female","1","immature",1.321,3.703,156,2.382,1.321,NA,NA,NA,NA,NA,2.382,1.321,0,0,0,0,0
"186",656,"17NPRB065602S46S4",2017,2,"Female","1","immature",1.225,3.013,151,1.788,1.225,NA,NA,NA,NA,NA,1.788,1.225,0,0,0,0,0
"187",658,"17NPRB065802S46S6",2017,2,"Female","1","immature",1.408,3.401,153,1.993,1.408,NA,NA,NA,NA,NA,1.993,1.408,0,0,0,0,0
"188",661,"17NPRB066102S46S9",2017,2,"Female","1","immature",1.298,3.346,131,2.048,1.298,NA,NA,NA,NA,NA,2.048,1.298,0,0,0,0,0
"189",662,"17NPRB066202S46S10",2017,2,"Female","1","immature",1.252,3.709,155,2.457,1.252,NA,NA,NA,NA,NA,2.457,1.252,0,0,0,0,0
"190",668,"17NPRB066802S47S1",2017,2,"Female","2","mature",0.842,2.382,136,1.54,0.842,NA,NA,NA,NA,NA,1.54,0.842,0,0,0,0,0
"191",670,"17NPRB067002S47S3",2017,2,"Female","2","mature",1.215,3.316,162,2.101,1.215,NA,NA,NA,NA,NA,2.101,1.215,0,0,0,0,0
"192",671,"17NPRB067103S47S4",2017,3,"Female","1","immature",0.717,3.719,175,1.794,1.208,0.717,NA,NA,NA,NA,1.794,1.208,0.717,0,0,0,0
"193",685,"17NPRB068502S48S3",2017,2,"Female","2","mature",0.931,2.615,160,1.684,0.931,NA,NA,NA,NA,NA,1.684,0.931,0,0,0,0,0
"194",691,"17NPRB069102S48S9",2017,2,"Female","2","mature",1.329,3.498,164,2.169,1.329,NA,NA,NA,NA,NA,2.169,1.329,0,0,0,0,0
"195",695,"17NPRB069503S48S13",2017,3,"Female","1","immature",0.471,3.963,160,2.543,0.949,0.471,NA,NA,NA,NA,2.543,0.949,0.471,0,0,0,0
"196",696,"17NPRB069602S48S14",2017,2,"Female","1","immature",1.292,3.087,149,1.795,1.292,NA,NA,NA,NA,NA,1.795,1.292,0,0,0,0,0
"197",701,"17NPRB070103S49S4",2017,3,"Female","1","immature",0.591,3.421,152,1.476,1.354,0.591,NA,NA,NA,NA,1.476,1.354,0.591,0,0,0,0
"198",704,"17NPRB070403S49S7",2017,3,"Female","3","mature",0.439,3.28,181,1.569,1.272,0.439,NA,NA,NA,NA,1.569,1.272,0.439,0,0,0,0
"199",705,"17NPRB070503S49S8",2017,3,"Female","1","immature",0.666,4.091,180,1.698,1.727,0.666,NA,NA,NA,NA,1.698,1.727,0.666,0,0,0,0
"200",708,"17NPRB070803S49S11",2017,3,"Female","2","mature",0.507,3.786,167,1.865,1.414,0.507,NA,NA,NA,NA,1.865,1.414,0.507,0,0,0,0
"201",711,"17NPRB071102S49S14",2017,2,"Female","2","mature",1.213,3.12,157,1.907,1.213,NA,NA,NA,NA,NA,1.907,1.213,0,0,0,0,0
"202",712,"17NPRB071203S49S15",2017,3,"Female","1","immature",0.728,3.054,166,1.06,1.266,0.728,NA,NA,NA,NA,1.06,1.266,0.728,0,0,0,0
"203",715,"17NPRB071503S50S3",2017,3,"Female","1","immature",0.662,3.922,171,1.895,1.365,0.662,NA,NA,NA,NA,1.895,1.365,0.662,0,0,0,0
"204",716,"17NPRB071603S50S4",2017,3,"Female","1","immature",0.795,4.829,185,2.579,1.455,0.795,NA,NA,NA,NA,2.579,1.455,0.795,0,0,0,0
"205",724,"17NPRB072403S50S12",2017,3,"Female","3","mature",0.823,3.565,166,1.634,1.108,0.823,NA,NA,NA,NA,1.634,1.108,0.823,0,0,0,0
"206",727,"17NPRB072703S50S15",2017,3,"Female","3","mature",0.9,4.435,177,2.048,1.487,0.9,NA,NA,NA,NA,2.048,1.487,0.9,0,0,0,0
"207",728,"17NPRB072803S51S1",2017,3,"Female","1","immature",0.588,4.075,173,1.819,1.668,0.588,NA,NA,NA,NA,1.819,1.668,0.588,0,0,0,0
"208",731,"17NPRB073103S51S4",2017,3,"Female","1","immature",0.289,3.986,176,1.886,1.811,0.289,NA,NA,NA,NA,1.886,1.811,0.289,0,0,0,0
"209",732,"17NPRB073203S51S5",2017,3,"Female","1","immature",0.68,3.677,159,1.649,1.348,0.68,NA,NA,NA,NA,1.649,1.348,0.68,0,0,0,0
"210",733,"17NPRB073303S51S6",2017,3,"Female","1","immature",0.461,3.306,173,1.454,1.391,0.461,NA,NA,NA,NA,1.454,1.391,0.461,0,0,0,0
"211",734,"17NPRB073403S51S7",2017,3,"Female","1","immature",0.833,3.644,179,1.48,1.331,0.833,NA,NA,NA,NA,1.48,1.331,0.833,0,0,0,0
"212",736,"17NPRB073603S51S9",2017,3,"Female","1","immature",0.68,3.819,179,1.504,1.635,0.68,NA,NA,NA,NA,1.504,1.635,0.68,0,0,0,0
"213",737,"17NPRB073703S51S10",2017,3,"Female","1","immature",0.77,4.348,182,2.037,1.541,0.77,NA,NA,NA,NA,2.037,1.541,0.77,0,0,0,0
"214",738,"17NPRB073803S51S11",2017,3,"Female","1","immature",0.615,4.298,168,1.95,1.733,0.615,NA,NA,NA,NA,1.95,1.733,0.615,0,0,0,0
"215",740,"17NPRB074003S51S13",2017,3,"Female","3","mature",0.601,3.081,170,1.388,1.092,0.601,NA,NA,NA,NA,1.388,1.092,0.601,0,0,0,0
"216",742,"17NPRB074203S51S15",2017,3,"Female","1","immature",0.493,3.372,164,1.46,1.419,0.493,NA,NA,NA,NA,1.46,1.419,0.493,0,0,0,0
"217",743,"17NPRB074306S52S1",2017,6,"Female","1","immature",0.056,3.887,184,1.267,1.029,0.903,0.341,0.291,0.056,NA,1.267,1.029,0.903,0.341,0.291,0.056,0
"218",749,"17NPRB074903S52S7",2017,3,"Female","2","mature",0.543,3.54,183,1.824,1.173,0.543,NA,NA,NA,NA,1.824,1.173,0.543,0,0,0,0
"219",752,"17NPRB075203S52S10",2017,3,"Female","1","immature",0.855,4.428,174,1.491,2.082,0.855,NA,NA,NA,NA,1.491,2.082,0.855,0,0,0,0
"220",753,"17NPRB075303S52S11",2017,3,"Female","1","immature",0.624,3.243,162,1.679,0.94,0.624,NA,NA,NA,NA,1.679,0.94,0.624,0,0,0,0
"221",756,"17NPRB075603S52S14",2017,3,"Female","2","mature",0.499,3.792,179,1.932,1.361,0.499,NA,NA,NA,NA,1.932,1.361,0.499,0,0,0,0
